id,timestamp,sender_domain,reply_to_mismatch,spf_fail,dkim_fail,dmarc_fail,lookalike_domain,suspicious_link_count,urgency_score,num_links,return_path_mismatch,free_email_sender,total_score,verdict,label
23dd7bc7,2026-05-11T18:49:15.194633,meuhedet.co.il,0,0,0,0,,0,0.0,2,0,0,7.6,safe,
02186bf3,2026-05-11T18:49:24.483050,meuhedet.co.il,0,0,0,0,,0,0.0,0,0,0,7.6,safe,
da6f5e06,2026-05-11T18:49:35.540457,gmail.com,0,0,0,0,,0,0.0,0,0,1,9.5,safe,
75750ab1,2026-05-11T18:50:06.874964,gmail.com,0,0,0,0,,0,0.0,0,0,1,9.5,safe,
25225fde,2026-05-11T18:53:56.710293,gmail.com,0,0,0,0,,0,0.0,0,0,1,9.5,safe,
a575a663,2026-05-11T18:54:32.714626,gmail.com,0,0,0,0,,0,0.0,20,0,1,9.5,safe,
30476214,2026-05-11T18:54:42.846396,xwf.google.com,0,0,0,0,,0,0.0,20,1,0,11.9,safe,
942ea25c,2026-05-11T18:54:54.722300,gmail.com,0,0,0,0,,0,0.0,1,0,1,9.5,safe,
f7efdc6a,2026-05-11T18:55:07.969796,gmail.com,0,0,0,0,,0,0.0,0,0,1,9.5,safe,
fba6c8e9,2026-05-11T18:55:17.661655,recruitment.wix.com,0,0,0,0,,0,0.0,2,0,0,7.6,safe,
16923388,2026-05-11T18:55:46.534836,miluim.idf.il,0,0,0,0,,0,0.0,3,1,0,11.9,safe,
6c7048db,2026-05-11T18:55:52.760093,ronk-cpa.co.il,0,0,0,0,,0,0.0,0,0,0,7.6,safe,
2c986727,2026-05-11T18:56:03.233364,info.email.aa.com,0,0,0,0,,0,0.0,13,1,0,11.9,safe,
578469ce,2026-05-11T18:56:18.283100,gmail.com,0,0,0,0,,0,0.0,1,0,1,9.5,safe,
d1e1bb9b,2026-05-11T19:00:12.080793,gmail.com,0,0,0,0,,0,0.0,0,0,1,9.5,safe,
0e949395,2026-05-11T19:03:51.083768,gmail.com,0,0,0,0,,0,0.0,0,0,1,37.8,safe,
d0237221,2026-05-11T19:04:37.773333,linkedin.com,0,0,0,0,,0,0.0,15,1,0,11.9,safe,
2d017e08,2026-05-11T19:05:05.010637,gmail.com,0,0,0,0,,0,0.0,0,0,1,37.8,safe,
08e138da,2026-05-11T19:07:40.382886,gmail.com,0,0,0,0,,0,0.0,0,0,1,85.2,phishing,
a05d229f,2026-05-11T19:08:08.328964,facebookmail.com,0,0,0,0,,0,0.0,7,0,0,7.6,safe,
595bf075,2026-05-11T19:08:14.727309,m.ngrok.com,0,0,0,0,,0,0.0,11,1,0,11.9,safe,
c64a3a09,2026-05-11T19:08:25.356461,jobalerts.cisco.com,0,0,0,0,,0,0.0,7,1,0,11.9,safe,
896d4462,2026-05-11T19:08:34.542908,hackerrankforwork.com,1,0,0,0,,0,0.0,2,1,0,32.1,safe,
76a0ed9a,2026-05-11T19:26:56.347549,gmail.com,0,0,0,0,,0,0.0,0,0,1,85.2,phishing,
3434c032,2026-05-11T19:27:26.667889,classroom.google.com,0,0,0,0,,0,0.0,4,1,0,11.9,safe,
8e3c66b2,2026-05-11T19:27:33.245282,google.com,0,0,0,0,,0,0.0,16,0,0,7.6,safe,
f9c67c36,2026-05-12T18:49:40.568029,paypa1.com,0,0,0,0,paypal.com,0,0.348,0,0,0,98.0,phishing,
03bdc4bd,2026-05-12T18:50:00.164378,microsoft.com,0,0,0,0,,0,0.0,0,0,0,7.6,safe,
8bbcf22d,2026-05-12T18:54:20.154946,noreply12.jobs2web.com,0,0,0,0,,0,0.043,12,0,0,14.8,safe,
7de60318,2026-05-12T18:54:29.579393,gmail.com,0,0,0,0,,0,0.0,0,0,1,97.8,phishing,
08c0ee86,2026-05-12T18:54:50.202896,meuhedet.co.il,0,0,0,0,,0,0.0,2,1,0,11.9,safe,
e5136ee1,2026-05-12T18:54:57.908400,accounts.google.com,0,0,0,0,,0,0.0,4,1,0,68.7,phishing,
ca52ce55,2026-05-12T18:55:14.313232,glassdoor.com,0,0,0,0,,0,0.0,8,1,0,87.2,phishing,
79c029e3,2026-05-12T18:55:25.475205,jetbrains.com,0,0,0,0,,0,0.0,2,1,0,22.3,safe,
f2544f90,2026-05-12T18:55:33.118083,jobalerts.cisco.com,0,0,0,0,,0,0.0,7,1,0,52.9,suspicious,
8b02e079,2026-05-12T18:56:23.280368,jetbrains.com,0,0,0,0,,0,0.0,2,1,0,22.3,safe,
036e4708,2026-05-12T18:56:32.150248,accounts.google.com,0,0,0,0,,0,0.0,4,1,0,68.7,phishing,
e93071b7,2026-05-12T18:57:32.559222,accounts.google.com,0,0,0,0,,0,0.0,4,1,0,43.8,suspicious,
fe2fc7e0,2026-05-12T18:57:41.997896,earnix.comeet-notifications.com,0,0,0,0,,0,0.0,1,1,0,22.3,safe,
9d03497d,2026-05-12T18:57:46.313992,gmail.com,0,0,0,0,,0,0.0,0,0,1,95.8,phishing,
8fb40d77,2026-05-12T18:57:52.545599,google.com,0,0,0,0,,0,0.0,0,1,0,50.0,suspicious,
52e331a0,2026-05-12T18:58:04.056187,gmail.com,0,0,0,0,,0,0.0,0,0,1,43.8,suspicious,
d6427550,2026-05-12T18:58:12.913980,xwf.google.com,0,0,0,0,,0,0.0,20,1,0,43.8,suspicious,
eadc0445,2026-05-12T18:58:20.015010,google.com,0,0,0,0,,0,0.0,16,0,0,7.6,safe,
bc3c4bc4,2026-05-12T18:58:25.920835,gmail.com,0,0,0,0,,0,0.0,20,0,1,18.2,safe,
a1961cee,2026-05-12T18:58:31.483466,gmail.com,0,0,0,0,,0,0.0,0,0,1,9.5,safe,
44809de4,2026-05-12T18:58:38.621990,tdacservices.immigration.go.th,0,0,0,0,,0,0.0,5,1,0,32.1,safe,
dea23939,2026-05-12T18:58:46.115184,tdacservices.immigration.go.th,0,0,0,0,,0,0.0,5,1,0,32.1,safe,
9653f8e6,2026-05-12T18:58:48.785302,gmail.com,0,0,0,0,,0,0.0,5,0,1,9.5,safe,
8a2648af,2026-05-12T18:58:54.198827,imaginefestival.co.il,0,0,0,0,,0,0.0,6,0,0,14.8,safe,
2aa9d928,2026-05-12T18:59:00.347532,jerusalem.muni.il,0,0,0,0,,0,0.0,5,1,0,11.9,safe,
7e9acdba,2026-05-13T05:15:46.832690,gmail.com,0,0,0,0,,0,0.0,0,0,1,95.8,phishing,
4a3fdbca,2026-05-13T05:16:32.338240,gmail.com,0,0,0,0,,0,0.0,0,0,1,95.8,phishing,
8920e727,2026-05-13T05:16:56.830330,gmail.com,0,0,0,0,,0,0.0,0,0,1,95.8,phishing,
